OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
ASV000574	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	37	26	0	0	0	9	0	0	0	0	0	0
ASV000586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	4	5	6	34	9	5	4	0	0	0	0
ASV000605	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	65	2	6	0	0	0	0	0	0	0	0	0
ASV000638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	58	0	2	0	0	0
ASV000650	17	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	2	1	0	0	0	0	0	0
ASV000620	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	22	20	7	8	0	9	6	0	0	0	0
ASV000628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	22	16	3	0	16	0	8	3	0	0	0
ASV000652	0	0	0	58	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV000704	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV000721	0	1	1	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV000750	0	1	0	0	0	0	0	0	0	0	0	0	15	39	14	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
ASV000774	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	16	1	0	0	0
ASV000800	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001058	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000583	0	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	32	0	1	0	13	0	2	3	0	0	0	0	1	0
ASV000602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	9	6	0	1	1	0	0	0	17	0	31
ASV000655	0	0	14	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000705	0	1	2	0	0	0	0	0	0	0	0	0	1	46	22	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV000773	0	0	0	57	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV000669	0	0	2	0	0	0	0	0	0	0	0	0	0	1	61	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1
ASV000695	8	0	3	0	0	0	0	0	0	0	0	0	0	7	1	0	1	40	0	0	0	8	0	0	0	0	0	1	1	3
ASV000735	0	0	0	44	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0
ASV000742	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	70	0	0	0	0	0	0	0	0	0	0	0	0
ASV000875	3	66	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000571	1	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV000575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	0	10	0	0	2	0	33	0	4
ASV000641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	10	16	7	5	6	11	3	0	0
ASV000645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0
ASV000789	1	60	0	0	0	0	0	0	0	0	0	0	1	0	0	5	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV000690	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	33	0	0	0	0	0	0	1	0	0	0	0	0	21	9
ASV000609	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	6	25	0	5	0	0	1	0
ASV000616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	2	0	57
ASV000618	0	0	0	0	0	0	4	0	0	7	0	0	1	2	0	5	0	0	7	7	11	9	9	0	7	0	0	0	0	0
ASV000662	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	64
ASV000844	32	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	6	0	0	0	1	0	0	19	0	0	0	5	0
ASV000677	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	52	0	0	0	1	3	3	0	0	0	0	0	0
ASV000707	0	0	0	0	0	0	0	0	0	0	0	0	0	21	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV000796	0	0	0	40	0	0	0	0	0	19	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0
ASV000570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	13	0	0	6	11	18	0	15	1	0	0	0	0
ASV000648	0	0	0	0	0	0	51	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV000717	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	13	8	3	0	3	0	11	2	0	0	0	0
ASV000732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	13	0	0	1	0	0	0	0	0	1	48
ASV000820	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000879	64	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001907	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000539	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000562	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	62	0	0	0	0
ASV000653	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	19	0	4	6	0	0	1	0	0	0	0	0
ASV000772	0	0	0	23	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	9	15	0	0	0
ASV000846	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000880	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	6	0	0	2	10	2	7	4	5	2	0	0	0
ASV000915	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ASV000627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	0	0	0	2	0	55
ASV000632	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	62	0	0
ASV000647	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	22	0	5	0	0	0	0	0	0	0	8
ASV000660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	12	0	0	0	1	25	14
ASV000681	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000710	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	12	45	0	0	0	0	0	0	0	0	0	0	1	1
ASV000744	24	12	0	0	0	0	0	0	0	0	0	0	5	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV000749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
ASV000765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	21	0	0	5	0	0	0	0	0	0	37
ASV000779	13	0	0	0	0	0	0	0	0	0	0	0	35	0	12	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV000792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	3	3	51
ASV000845	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	13	8	0	14	0	7	0	8	2	0	0	0
ASV000714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	54
ASV000782	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000830	0	1	0	0	0	0	0	0	0	0	0	0	0	21	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
ASV000674	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	9	0	6	1	0	2	0	29	1	0
ASV000739	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	0	0	0	0	0	0	1	0	34
ASV000860	0	0	0	42	0	0	0	0	0	15	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0
ASV000918	0	57	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001199	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	1	0	0	2	0	0	0	0
ASV000671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	6	0	1	0	0	32	0	5	0	0	0	0
ASV000679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	20	37	0	0	0
ASV000701	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	12	0	0	1	13	0	1	2	0	3	0
ASV000711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	6	51
ASV000723	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	13	33	0	0	0
ASV000776	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	13	31	0	0	0	0	0	0	0	0	0	0	0	9	0
ASV000870	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV001000	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000629	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	8	6	4	0	0	0	0	0
ASV000696	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV000761	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	22	0	0	0	0	0	0	0	0	0	0	7	0	0
ASV000763	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV000825	0	0	2	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	35	0	0	0
ASV000700	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	7	0	16	0	0	0	0	0
ASV000706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	1	0	0	0	0	0	0	47
ASV000716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	33	1	0	1	0	0	0	3	0	0	2	0
ASV000784	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	17	21	0	0	0
ASV000788	0	44	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000819	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	6	0	0	0	0	0	0	0	0	0	31	7	0
ASV000894	0	0	0	0	0	0	3	29	0	0	0	0	0	0	0	0	4	0	0	5	2	2	0	9	5	0	0	0	0	0
ASV002167	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000597	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000672	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000687	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	5	8	0	0	0	0	0	0	0	0	0	0	2	0	37
ASV000709	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV000733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	19	0	0	0	0	0	0	0
ASV000754	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	0	0	0	0	0	0	0	0	0	1	0	0
ASV000798	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	4	0	18
ASV000741	0	0	0	0	0	0	0	0	0	0	0	0	44	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV000822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
ASV000881	1	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV000639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	49	0	0	1	0	0	0	0	0	0
ASV000785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	49
ASV000808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV000818	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	1	0	3
ASV000857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	2	1	0	18	0	0	0	0	0	0	0
ASV000866	0	0	0	0	0	0	0	0	0	21	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	13	16	0	0	0
ASV001094	0	52	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001139	0	0	0	0	47	1	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000636	0	0	0	1	2	0	0	0	0	0	0	0	0	0	6	2	0	16	15	1	9	0	3	0	0	0	0	0	0	0
ASV000781	1	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV000854	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000864	0	0	0	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
ASV000943	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000979	0	7	0	0	0	0	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	7	11	0	0	0	0	0	0
ASV000719	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0
ASV000752	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	48	0
ASV000828	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV000865	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	31	19	0	0	0	0	0	0	0	0	0	0	0	0
ASV000981	48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001036	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001257	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV000673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	2	0	0	0	0	0	0	0	0	0
ASV000725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	35	0	0	0	0	0	0	0
ASV000806	0	0	3	0	0	0	0	0	0	0	0	0	0	44	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV000821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	27	6	0	0	0	0	13	0	5
ASV000859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	23	0	0	15	0	0	0	0
ASV000959	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001004	0	46	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV001028	0	46	2	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001299	0	0	0	1	48	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	2	5	9	1	10	9	1	0	0	3
ASV000851	0	0	0	0	0	0	0	0	0	0	0	0	29	3	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV000863	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	13	1	0	0	0	0	0	0	7	0	27	0	0
ASV000874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ASV000892	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	45	0	0	0	0	0	0	0	0	0	0	0	0
ASV000902	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0
ASV001176	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	0	16	0	4	3	0	0	0	0
ASV000727	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000745	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	47	0
ASV000751	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	13	1	17	2	0	0	0	0	0	0
ASV000827	0	0	0	0	0	4	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000835	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV001073	0	49	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001252	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001319	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000746	0	0	0	41	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ASV000753	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	25	0	1	4	0	0	0	0	0	0
ASV000786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
ASV000836	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	1	0	6	14	23	0	0	0
ASV000839	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	4	0	0	0	0
ASV000861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV000886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	6	4	24	0	0	0	0	0	0
ASV001068	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4
ASV001344	0	0	0	0	47	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001461	0	1	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	45
ASV000758	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000768	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV000868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	22	0	8	0	0	0	0	0	0	0
ASV000904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	24
ASV000930	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
ASV000777	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	10	0	0	3	0	0	0	0	0	15	14
ASV000804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0
ASV000837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	17	28	0	0	0
ASV000956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	25	0	0	0	0	0	0	0	0	0	0	0	19
ASV001052	0	0	2	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV001185	2	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001283	0	38	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000787	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV000884	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	3	2	0	32	2	0	0	0	0
ASV000913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	46
ASV000995	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0
ASV001042	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000850	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV000855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	9	0	0	14	0	0	0	0	4
ASV000960	0	0	0	38	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
ASV000970	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	35	0	0	0	0	0	0	0	3	0	0	0	0
ASV001060	0	0	0	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV001118	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV001483	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	13	8	0	0	0	0
ASV000826	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0
ASV000919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	7	1	0	0	0	0	0	0	18
ASV000920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	5	0	0	0	14	9	0
ASV000957	1	1	2	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV000982	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	17	8	0	0	7	0	0	0	0
ASV001244	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV001508	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000775	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	19	0	0	2
ASV000840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	0	1	6	0	5	4	0	14	2	0	0	2
ASV000841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	4	10	22
ASV000862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	2	0	0	0	0	0	0	0	0	0	4	14	12
ASV000877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	40	0	0	0	0	0	0
ASV000932	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	5	18	0	3	5	0	0	0	0	0	0
ASV000942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	41
ASV000961	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000975	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	11	0	0	0	0
ASV001046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
