OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
ASV000079	19	782	14	0	0	3	183	0	286	0	0	9	12	16	96	1	8	3	0	0	0	6	0	8	2	7	0	7	0	10
ASV000048	32	5	9	4	9	0	231	13	17	26	0	0	0	0	0	74	44	25	107	54	139	128	108	55	311	54	10	3	0	6
ASV000049	2	10	0	1	43	0	0	24	16	6	10	0	0	0	0	35	78	0	0	5	59	16	9	1072	10	5	39	0	0	0
ASV000051	115	9	3	43	4	0	0	0	0	9	0	0	0	0	2	111	103	58	379	114	122	91	45	7	139	20	7	0	9	5
ASV000054	190	15	52	1	4	0	0	0	0	3	0	0	9	4	14	166	115	231	7	57	20	28	54	58	11	19	11	10	14	286
ASV000068	79	10	22	0	0	0	33	362	0	0	0	0	165	67	40	81	46	9	21	54	66	104	21	25	26	22	0	22	19	74
ASV000121	130	0	16	0	0	0	0	422	472	0	0	0	288	0	0	4	0	0	0	0	9	0	10	0	0	0	0	7	0	0
ASV000057	0	3	3	281	0	3	0	0	0	105	30	85	0	2	0	0	0	0	9	20	168	0	0	9	22	258	334	0	2	1
ASV000090	2	4	2	4	10	0	0	684	7	0	22	0	28	0	0	12	58	45	75	97	146	4	35	31	24	39	2	2	0	1
ASV000055	0	0	0	454	0	0	0	0	0	157	0	13	0	0	0	0	0	0	0	3	19	0	3	17	5	243	418	0	0	0
ASV000205	0	0	0	0	13	0	0	26	0	9	1212	8	0	0	0	0	0	0	14	2	1	1	0	0	2	3	7	0	0	0
ASV000053	8	0	9	0	3	0	164	5	0	0	9	0	174	47	162	70	17	96	50	50	31	24	54	129	55	12	12	60	15	40
ASV000100	0	9	0	0	1	0	0	0	661	9	5	17	0	0	0	2	152	8	39	30	1	7	15	61	231	9	5	1	0	1
ASV000112	3	2	8	55	74	0	0	8	521	7	4	21	5	0	458	0	0	0	0	3	4	11	0	0	21	0	0	0	0	14
ASV000059	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	33	0	0	1022	16	8	30	0	0	0	0	0
ASV000063	0	0	7	0	0	0	31	0	0	0	0	0	0	0	1	11	71	194	87	133	84	97	91	73	111	34	0	50	0	60
ASV000065	46	8	8	0	4	0	33	23	17	10	0	0	1	0	0	34	87	120	81	35	50	53	49	392	30	20	13	1	3	0
ASV000061	77	6	62	1	4	0	97	8	3	0	0	0	0	0	0	26	117	79	117	83	119	54	109	38	80	19	6	0	5	0
ASV000064	56	5	75	3	0	0	443	10	0	0	0	0	92	4	38	6	44	32	0	84	21	32	25	23	49	17	4	8	36	0
ASV000060	0	0	0	0	0	0	0	0	0	0	0	0	48	19	1	13	28	14	0	0	0	0	0	0	0	0	0	921	13	19
ASV000071	44	0	8	2	0	0	308	0	14	12	11	7	0	16	9	43	17	89	83	18	14	81	36	56	73	32	8	58	0	35
ASV000190	0	6	204	0	5	0	0	0	0	7	778	0	0	0	0	0	0	9	2	0	0	55	0	0	5	3	0	0	0	0
ASV000074	2	1	9	0	0	0	0	0	0	0	0	0	955	33	25	0	0	0	0	0	0	0	2	0	0	0	0	32	2	0
ASV000076	0	0	0	298	6	0	0	0	0	134	30	18	0	0	0	0	0	0	12	14	24	0	5	11	19	175	308	0	0	0
ASV000162	0	58	0	54	18	0	11	0	0	194	464	100	0	53	34	0	2	0	4	0	0	6	0	0	16	20	15	0	0	1
ASV000069	0	0	0	1	3	0	210	7	4	16	15	6	0	0	1	52	33	0	9	170	57	41	54	39	185	103	10	2	1	27
ASV000067	0	3	6	7	0	0	0	20	0	0	0	9	3	1	2	23	44	77	58	74	101	64	81	97	192	45	18	50	12	49
ASV000072	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	9	6	0	0	0	0	0	0	0	0	0	0	7	37	942
ASV000070	0	0	0	0	0	0	962	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	11	0	0	0	0	0	0	0
ASV000075	6	7	9	7	0	0	0	0	4	46	17	8	0	0	0	115	36	61	34	30	120	54	35	6	340	24	19	5	3	10
ASV000117	31	0	801	0	0	0	48	0	0	0	0	0	9	0	0	0	0	8	3	0	0	9	0	0	0	86	0	0	0	0
ASV000066	0	0	4	0	0	0	0	0	0	0	0	0	0	35	0	11	15	11	0	0	0	0	0	0	0	0	0	13	879	14
ASV000118	0	5	0	0	5	0	135	19	0	3	494	7	0	16	117	15	21	17	21	16	16	22	15	0	15	6	7	0	3	3
ASV000145	0	0	0	2	829	8	0	45	0	0	49	0	0	0	0	0	0	0	9	9	7	0	0	0	0	0	0	0	0	0
ASV000078	33	0	186	0	0	0	72	0	0	0	0	0	3	4	0	50	3	73	7	36	69	102	12	105	57	10	5	58	56	1
ASV000091	4	5	0	0	5	0	3	16	0	0	162	0	0	94	170	24	47	0	11	71	84	76	45	0	62	7	2	3	2	43
