OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV000004	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV000003	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_ambigua
ASV000007	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV000016	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000006	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000005	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_rubrotinctus
ASV000008	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae		
ASV000012	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000009	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV000010	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000031	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000013	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
ASV000029	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000021	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	
ASV000017	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora
ASV000022	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV000023	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000020	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylospora	Campylospora_parvula
ASV000032	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000045	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_epicladia
ASV000037	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps_chlamydosporia
ASV000019	Fungi	Basidiomycota	Agaricomycetes				
ASV000085	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV000027	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans
ASV000028	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae		
ASV000056	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000034	Fungi	Ascomycota					
ASV000052	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps_chlamydosporia
ASV000033	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
ASV000035	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_grisea
ASV000036	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_nematophilum
ASV000041	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Paraboeremia	Paraboeremia_selaginellae
ASV000038	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11			
ASV000077	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000094	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000030	Fungi	Basidiomycota	Agaricomycetes				
ASV000039	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	
ASV000040	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000044	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV000047	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis		
ASV000050	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum
ASV000043	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	Iodophanus_carneus
ASV000097	Fungi						
ASV000079	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV000048	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000049	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	
ASV000051	Fungi						
ASV000054	Fungi	Ascomycota	Dothideomycetes				
ASV000068	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV000121	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
ASV000057	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
ASV000090	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000055	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	
ASV000205	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Natantispora	Natantispora_retorquens
ASV000053	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000100	Fungi	Ascomycota					
ASV000112	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV000059	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudaleuria	
ASV000063	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
ASV000065	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Myxocephala	Myxocephala_albida
ASV000061	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Trichocladium	Trichocladium_opacum
ASV000064	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV000060	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV000071	Fungi	Ascomycota					
ASV000190	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV000074	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_cucumerina
ASV000076	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	
ASV000162	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
ASV000069	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	
ASV000067	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	
ASV000072	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000070	Fungi						
ASV000075	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000117	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_ambigua
ASV000066	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	
ASV000118	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
ASV000145	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Irpex	
ASV000078	Fungi	Basidiomycota					
ASV000091	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	
ASV000082	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectria	Bionectria_setosa
ASV000103	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	
ASV000087	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	Torula_hollandica
ASV000080	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae		
ASV000120	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV000088	Fungi	Ascomycota	Dothideomycetes				
ASV000106	Fungi	Ascomycota	Sordariomycetes				
ASV000086	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV000093	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium_lilacinum
ASV000083	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	
ASV000095	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000089	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae		
ASV000098	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000096	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV000374	Fungi						
ASV000430	Fungi						
ASV000114	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_trachyspermus
ASV000108	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Anguillospora	Anguillospora_longissima
ASV000109	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_harzianum
ASV000104	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_trachyspermus
ASV000319	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000159	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae		
ASV000142	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cladorrhinum	
ASV000261	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_arunalokei
ASV000131	Fungi						
ASV000137	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_furcatum
ASV000110	Fungi	Ascomycota					
ASV000132	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylospora	Campylospora_parvula
ASV000111	Fungi	Ascomycota	Sordariomycetes	Branch06			
ASV000102	Fungi						
ASV000113	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae		
ASV000119	Fungi	Ascomycota					
ASV000127	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_chienii
ASV000125	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terricola
ASV000316	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Staphylotrichum	Staphylotrichum_coccosporum
ASV000099	Fungi	Ascomycota	Sordariomycetes	Microascales			
ASV000136	Fungi	Ascomycota					
ASV000249	Fungi						
ASV000221	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV000123	Fungi	Ascomycota	Eurotiomycetes	Onygenales			
ASV000233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_nematophilum
ASV000129	Fungi	Ascomycota					
ASV000134	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	
ASV000124	Fungi						
ASV000141	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000138	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_furcatum
ASV000107	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	
ASV000192	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae		
ASV000126	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	
ASV000140	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans
ASV000133	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Arthropsis	Arthropsis_hispanica
ASV000147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
ASV000135	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_liriodendri
ASV000143	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae		
ASV000425	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sydowii
ASV000154	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	
ASV000229	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS10			
ASV000198	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Panaeolus	
ASV000591	Fungi						
ASV000150	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	
ASV000177	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000152	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Clohesyomyces	Clohesyomyces_aquaticus
ASV000163	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	
ASV000607	Fungi	Mucoromycota	Endogonomycetes	Endogonales			
ASV000173	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Nectriopsis	Nectriopsis_rexiana
ASV000155	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae		
ASV000471	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000199	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000178	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV000161	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani
ASV000225	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000148	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_scobicola
ASV000179	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermales_fam_Incertae_sedis	Leptodiscella	Leptodiscella_africana
ASV000158	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV000176	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	
ASV000212	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Lipomyces	Lipomyces_chichibuensis
ASV000157	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
ASV000168	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	
ASV000182	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV000165	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	
ASV000164	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
ASV000175	Fungi						
ASV000501	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_pintolopesii
ASV000722	Fungi						
ASV000183	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae		
ASV000186	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_sayulitensis
ASV000170	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000160	Fungi	Basidiomycota	Agaricomycetes				
ASV000167	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000188	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV000631	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
ASV000336	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV000195	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	
ASV000588	Fungi						
ASV000196	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_bialowiezense
ASV000251	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Idriella	
ASV000427	Fungi						
ASV000593	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_halotolerans
ASV000187	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
ASV000213	Fungi	Ascomycota	Sordariomycetes				
ASV000807	Fungi	Ascomycota	Eurotiomycetes				
ASV000156	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	
ASV000211	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000202	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_fuscescens
ASV000174	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	Waitea_circinata
ASV000203	Fungi	Ascomycota	Pezizomycetes	Pezizales			
ASV000226	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000206	Fungi	Ascomycota	Sordariomycetes				
ASV000184	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	
ASV000197	Fungi						
ASV000527	Fungi						
ASV000207	Fungi	Ascomycota					
ASV000171	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_scobicola
ASV000345	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	
ASV000235	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000697	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe_apala
ASV000278	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_penicillioides
ASV000644	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Staphylotrichum	Staphylotrichum_boninense
ASV000234	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV000191	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	
ASV000300	Fungi	Ascomycota					
ASV000204	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000194	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV000189	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV000224	Fungi	Basidiomycota	Agaricomycetes				
ASV000524	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	
ASV000210	Fungi	Ascomycota	Sordariomycetes				
ASV000241	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Leucosporidium	
ASV000193	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000215	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	
ASV000232	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus_verrucispermus
ASV000201	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiales_fam_Incertae_sedis		
ASV000223	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_flanaganii
ASV000209	Fungi	Basidiomycota	Agaricomycetes	Auriculariales			
ASV000217	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV000310	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	Cephalotrichum_asperulum
ASV000240	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraconiothyrium	
ASV000254	Fungi						
ASV000227	Fungi	Ascomycota					
ASV000250	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	
ASV000218	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
ASV000243	Fungi	Ascomycota					
ASV000260	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
ASV000276	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV000263	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae		
ASV000271	Fungi	Ascomycota					
ASV000257	Fungi	Ascomycota	Sordariomycetes				
ASV000228	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Anguillospora	Anguillospora_longissima
ASV000361	Fungi	Ascomycota	Sordariomycetes				
ASV000813	Fungi						
ASV000248	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV000238	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV000259	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella_cucumerina
ASV000891	Fungi	Mucoromycota	Endogonomycetes	Endogonales			
ASV001005	Fungi						
ASV000654	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000318	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Cunninghamella	Cunninghamella_blakesleeana
ASV000245	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000256	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon	
ASV000231	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	Coprinus_cordisporus
ASV000684	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000929	Fungi						
ASV000264	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	
ASV000253	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae		
ASV000262	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae		
ASV000312	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
ASV000281	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermales_fam_Incertae_sedis	Leptodiscella	Leptodiscella_africana
ASV000341	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_tricincta
ASV000246	Fungi	Basidiomycota	Agaricomycetes	Sebacinales			
ASV000272	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV000478	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum_commune
ASV000935	Fungi	Mucoromycota	Endogonomycetes	Endogonales			
ASV000255	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	
ASV000267	Fungi	Ascomycota					
ASV000354	Fungi	Ascomycota	Eurotiomycetes				
ASV000954	Fungi						
ASV000306	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae		
ASV000275	Fungi	Basidiomycota	Agaricomycetes				
ASV000284	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11			
ASV000292	Fungi	Ascomycota					
ASV000311	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	
ASV000313	Fungi	Ascomycota	Sordariomycetes				
ASV000288	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000265	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae		
ASV000283	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophoma	Setophoma_terrestris
ASV000266	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
ASV000323	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV000269	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Nigrograna	
ASV000287	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV000289	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	
ASV000290	Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera	Minutisphaera_japonica
ASV000258	Fungi	Basidiomycota	Agaricomycetes	Sebacinales			
ASV000401	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	
ASV000270	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae		
ASV001170	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_sphaerospermum
ASV000277	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
ASV000296	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae		
ASV000965	Fungi						
ASV000286	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	
ASV000349	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV000496	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_minioluteus
ASV000465	Fungi						
ASV000305	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae		
ASV000298	Fungi	Glomeromycota	Glomeromycetes	Diversisporales			
ASV000338	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_hyalina
ASV000353	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	
ASV000307	Fungi	Ascomycota	Sordariomycetes				
ASV000329	Fungi						
ASV000299	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae		
ASV000320	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	
ASV001077	Fungi						
ASV000291	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV000332	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_gamsii
ASV000302	Fungi	Ascomycota					
ASV000344	Fungi	Basidiomycota	Agaricomycetes	Auriculariales			
ASV000321	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
ASV000522	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_phlyctidospora
ASV000966	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV001027	Fungi						
ASV000309	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	
ASV000280	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV000398	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae		
ASV000297	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_furcatum
ASV000337	Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera	Minutisphaera_japonica
ASV000346	Fungi	Ascomycota	Dothideomycetes				
ASV001024	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus_viscosum
