OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV004680	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV004682	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV004683	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
ASV004687	Fungi						
ASV004690	Fungi	Ascomycota	Leotiomycetes				
ASV004695	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae		
ASV004696	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	
ASV004702	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV004704	Fungi						
ASV004705	Fungi	Ascomycota	Eurotiomycetes				
ASV004708	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae		
ASV004712	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV004715	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae		
ASV004719	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Lipomyces	
ASV004720	Fungi	Basidiomycota	Agaricomycetes				
ASV004724	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV004727	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales			
ASV004734	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS10			
ASV004739	Fungi	Ascomycota	Sordariomycetes	Glomerellales			
ASV004755	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae		
ASV004762	Fungi	Ascomycota					
ASV004769	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	
ASV004770	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Ramichloridium	Ramichloridium_strelitziae
ASV004774	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_gloeosporioides
ASV004775	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV004780	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
ASV004793	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	
ASV004794	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV004795	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV004797	Fungi	Ascomycota	Sordariomycetes				
ASV004802	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Myrothecium	
ASV004805	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae		
ASV004807	Fungi	Ascomycota					
ASV004810	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae		
ASV004811	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	
ASV004812	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae		
ASV004813	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	Bulleromyces_albus
ASV004814	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV004818	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
ASV004824	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	
ASV004825	Fungi	Ascomycota					
ASV004827	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV004828	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV004838	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV004840	Fungi						
ASV004843	Fungi						
ASV004846	Fungi	Ascomycota					
ASV004853	Fungi	Ascomycota	Sordariomycetes				
ASV004857	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV004860	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV004861	Fungi	Ascomycota					
ASV004864	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylospora	Campylospora_parvula
ASV004867	Fungi	Ascomycota	Sordariomycetes				
ASV004869	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	Coprinus_bellulus
ASV004873	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae		
ASV004875	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	
ASV004877	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV004881	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV004885	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	
ASV004891	Fungi						
ASV004896	Fungi						
ASV004898	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV004902	Fungi	Ascomycota	Sordariomycetes	Sordariales			
ASV004909	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
ASV004914	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Ciboria	Ciboria_shiraiana
ASV004924	Fungi	Ascomycota	Leotiomycetes				
ASV004932	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	
ASV004933	Fungi	Basidiomycota	Agaricomycetes				
ASV004934	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Dermoloma	Dermoloma_cuneifolium
ASV004935	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Hypoxylon	
ASV004937	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Coriolaceae		
ASV004942	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae		
ASV004943	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV004953	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV004959	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_ambigua
ASV004961	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Thelonectria	
ASV004963	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae		
ASV004966	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	Scedosporium_boydii
ASV004974	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae		
ASV004976	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_capitatum
ASV004981	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	
ASV004984	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	
ASV004999	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_ambigua
ASV005004	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005008	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_nigripes
ASV005013	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005014	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV005015	Fungi	Ascomycota					
ASV005019	Fungi	Basidiomycota	Agaricomycetes				
ASV005022	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005026	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa
ASV005028	Fungi	Basidiomycota	Agaricomycetes	Auriculariales			
ASV005035	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis
ASV005036	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
ASV005047	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	
ASV005050	Fungi	Basidiomycota	Agaricomycetes				
ASV005057	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV005058	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005059	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV005063	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005065	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Lecythophora	
ASV005074	Fungi						
ASV005075	Fungi	Basidiomycota	Agaricomycetes	Hysterangiales			
ASV005077	Fungi						
ASV005084	Fungi						
ASV005087	Fungi	Basidiomycota	Agaricomycetes	Auriculariales			
ASV005092	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus_viscosum
ASV005098	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Morosphaeriaceae	Acrocalymma	
ASV005108	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	
ASV005111	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans
ASV005117	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Dinemasporium	Dinemasporium_pseudostrigosum
ASV005128	Fungi	Ascomycota	Leotiomycetes	Helotiales			
ASV005130	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	
ASV005131	Fungi						
ASV005133	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005136	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005142	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae		
ASV005150	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_marchalianum
ASV005151	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV005153	Fungi						
ASV005156	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005158	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_vermicularioides
ASV005162	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
ASV005173	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005175	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	
ASV005192	Fungi	Ascomycota	Sordariomycetes				
ASV005207	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	
ASV005211	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005222	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectria	Bionectria_setosa
ASV005223	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005227	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis		
ASV005229	Fungi	Ascomycota	Sordariomycetes				
ASV005231	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005232	Fungi						
ASV005238	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005239	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_curvulum
ASV005241	Fungi	Ascomycota					
ASV005244	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae		
ASV005264	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae
ASV005268	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis		
ASV005271	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	Thanatephorus_cucumeris
ASV005272	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005274	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005275	Fungi	Ascomycota					
ASV005283	Fungi	Ascomycota	Sordariomycetes				
ASV005285	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae		
ASV005287	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae		
ASV005293	Fungi	Ascomycota	Leotiomycetes				
ASV005298	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV005300	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV005303	Fungi	Ascomycota	Sordariomycetes				
ASV005306	Fungi	Ascomycota					
ASV005309	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans
ASV005311	Fungi	Ascomycota	Sordariomycetes				
ASV005315	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_flavescens
ASV005330	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV005332	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	
ASV005334	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	
ASV005339	Fungi						
ASV005344	Fungi	Kickxellomycota	Kickxellomycetes	Kickxellales	Kickxellaceae	Ramicandelaber	
ASV005349	Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera	Minutisphaera_japonica
ASV005351	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon_coremiiforme
ASV005352	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005353	Fungi	Ascomycota					
ASV005354	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005363	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	
ASV005364	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum
ASV005372	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
ASV005375	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus_glaucescens
ASV005376	Fungi						
ASV005382	Fungi	Basidiomycota	Agaricomycetes	Hysterangiales			
ASV005383	Fungi	Ascomycota					
ASV005391	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
ASV005395	Fungi	Basidiomycota	Agaricomycetes	Polyporales			
ASV005396	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	
ASV005397	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_trachyspermus
ASV005398	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV005400	Fungi	Ascomycota	Eurotiomycetes				
ASV005412	Fungi	Ascomycota					
ASV005420	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV005428	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005439	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005450	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
ASV005454	Fungi	Ascomycota					
ASV005466	Fungi						
ASV005467	Fungi	Ascomycota	Sordariomycetes				
ASV005468	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005473	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_carbonarius
ASV005476	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae		
ASV005482	Fungi	Ascomycota	Sordariomycetes				
ASV005487	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
ASV005488	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_spinosum
ASV005491	Fungi	Ascomycota					
ASV005498	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	
ASV005500	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Fusariella	
ASV005509	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	
ASV005513	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS05			
ASV005521	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	
ASV005522	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV005531	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	
ASV005539	Fungi	Ascomycota					
ASV005548	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae		
ASV005551	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	
ASV005564	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
ASV005569	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005575	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
ASV005576	Fungi	Ascomycota	Sordariomycetes				
ASV005582	Fungi	Chytridiomycota					
