pathway	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
PWY-6609	3635.3981	2741.5939	1842.509	1640.9031	9510.4793	7087.3229	3065.1759	1799.4231	661.9256	1524.4598	4160.318	4387.3896	3072.2204	3559.2757	2181.6561	1785.6025	2809.3915	2765.0881	2399.3435	1869.4162	2232.5269	3192.6187	1619.2885	1672.8547	1382.983	1830.1834	1691.947	2446.5317	8103.2327	2457.8666
PWY-6737	2433.4266	6585.0368	1505.4817	7826.6233	1628.5745	375.6023	5228.8604	1053.1613	2563.7958	5385.5172	2542.5391	968.0092	3702.1017	4753.9262	6319.8964	2677.2781	3400.1358	3556.2405	3601.4363	3433.6473	3779.6208	2952.5948	2704.0295	3601.1369	3405.3291	6357.4444	7456.4525	3650.0075	1292.4216	2721.6155
PWY-7007	10473.4932	12952.7192	3921.2868	11761.754	15116.3839	14809.0788	11881.168	4480.0993	4573.0997	9258.4215	7756.6053	10404.3608	8424.0041	9457.9934	9129.74	14798.5708	10222.0509	10563.8279	8577.1781	8606.7353	9986.4382	8643.9833	6710.1374	8751.2104	7435.5962	11640.9051	12443.3544	12133.0813	13364.1597	8175.4037
PWY-7111	12815.487	15377.5293	4664.2892	14378.8151	15577.6	17887.5321	13865.6789	6720.0024	13033.0778	14504.1466	10517.0786	14394.9779	10104.0975	11823.8081	11212.5768	14688.5357	12083.1046	12343.399	10030.5734	9682.536	10939.9262	11174.5224	7643.2851	11316.8803	8924.1653	13929.6219	15656.8348	13447.1677	13762.616	8981.1602
PWY-7184	9434.0091	11017.8247	3593.6631	10570.5231	12289.1851	15920.2086	10403.2284	4763.0552	9046.8504	10367.2769	7722.9454	10568.9067	7428.0502	8550.7313	8151.6956	10608.4358	8865.9878	9096.1923	7367.4048	7138.9241	8104.9594	8141.0453	5666.2062	8138.857	6502.5278	10225.1242	11481.8565	9909.3573	10979.0333	6522.0924
PWY-7196	17.4741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9635	10.4889	0	0	13.982	0	0	0	62.7139	34.9211	0	0	24.4333
PWY-7197	7892.8703	9313.79	3014.997	8894.8657	9897.3866	13464.0924	8708.8763	4094.4555	7894.4946	8841.8723	6562.2741	8883.4655	6256.1943	7252.2849	6858.4575	8859.2765	7458.7646	7662.3322	6165.2279	5992.9147	6792.7178	6935.7212	4755.5485	6889.2849	5481.1976	8650.2337	9741.4316	8363.3071	8888.4566	5570.1061
PWY-7198	6920.8689	7617.8467	2191.1589	5729.862	3908.7798	8606.4688	6489.1549	4082.4481	8047.9471	7663.3529	6011.5446	8073.8971	5229.587	6241.7141	4754.7772	8721.4579	6315.2333	6444.8861	4850.7711	4749.2417	5449.4418	6465.2121	3726.2698	6122.7465	4507.6442	6540.845	7323.0921	7604.0295	3813.3102	4854.1634
PWY-7208	9013.6116	10704.379	3371.9973	10084.4461	11302.424	14308.5397	9818.0659	4713.0307	9020.2401	10068.641	7484.5381	10161.137	7117.1526	8294.6077	7830.6028	10120.9888	8499.5575	8719.9354	7098.3698	6802.9324	7706.6395	7898.2629	5397.4089	7870.7398	6236.6879	9789.3616	11005.3789	9513.3083	10094.3171	6475.6551
PWY-7209	1344.8854	1273.5432	641.4285	1251.9584	534.7914	569.7671	1598.0312	836.1753	275.709	879.783	825.239	961.5775	1204.3474	932.7974	558.2884	1117.088	1864.9645	1983.8044	1425.4385	1225.7113	1742.7983	1328.381	1209.157	1162.4886	1035.2115	1555.123	1336.5562	2104.5677	1001.346	1440.7179
