OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3	Phylum
ASV000004	0	0	0	4420	172	0	0	8	0	2533	328	190	0	0	0	0	0	0	87	191	331	7	70	104	144	2867	3938	0	0	0	Ascomycota
ASV000003	407	80	1044	195	56	0	80	723	91	90	55	19	38	19	39	61	87	87	1814	1962	903	1267	2141	1476	563	506	177	157	3	1	Mortierellomycota
ASV000007	1594	559	130	97	505	21	85	284	2472	1303	741	2785	122	153	83	174	261	175	220	131	151	471	135	185	220	70	21	51	14	62	Ascomycota
ASV000016	535	227	3041	94	437	0	0	663	54	784	862	1071	9	4	4	107	30	67	249	50	99	131	14	14	23	8	13	2	0	0	Mortierellomycota
ASV000006	89	117	114	0	0	0	0	0	0	0	0	0	1641	2226	3670	0	4	3	0	12	2	0	0	0	0	0	0	299	87	132	Ascomycota
ASV000005	6	1	3	0	0	0	0	0	0	0	0	0	3	210	3	76	72	63	0	0	0	0	0	0	0	0	0	58	6201	65	Basidiomycota
ASV000008	139	43	38	20	32	0	85	102	43	24	36	7	2	3	0	277	1002	581	490	405	651	363	435	529	273	159	38	15	29	26	Basidiomycota
ASV000012	194	181	20	280	228	18	414	33	22	87	24	0	19	24	65	1994	244	203	115	230	271	159	116	210	110	46	17	201	95	106	Ascomycota
ASV000009	204	55	157	38	25	0	195	50	39	43	24	15	47	10	59	430	480	495	834	391	512	314	352	259	263	137	45	48	54	102	Ascomycota
ASV000010	285	136	18	10	6	0	154	12	8	31	15	0	190	81	29	2679	99	94	137	101	175	111	69	86	109	87	45	529	94	199	Ascomycota
ASV000031	853	10	8	9	2321	0	0	89	30	29	197	1864	15	17	17	16	0	0	25	15	13	0	0	0	9	6	9	0	0	0	Basidiomycota
ASV000013	92	22	20	0	16	0	87	49	51	107	73	60	8	6	4	147	256	244	319	208	282	317	319	199	2134	160	34	46	135	91	Ascomycota
ASV000029	676	4	12	9	2919	0	0	134	31	0	147	922	0	5	9	18	0	0	34	33	26	0	0	0	0	4	0	0	0	0	Basidiomycota
