,logFC,logCPM,LR,PValue,FDR,Domain,Phylum,Class,Order,Family,Genus,Species,threshold
ASV002005,-3.25516908594091,7.55938453035011,0.745553629541318,0.387887639660716,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Not significant
ASV002030,-2.65864251715481,7.45190243904978,0.542649881471207,0.461336599760256,0.784042842117005,Fungi,,,,,,,Not significant
ASV002037,-2.36592298221948,7.40875515802164,0.514314091912708,0.473277258656358,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV002061,3.11103503866305,7.53069775097588,0.704653220985005,0.401224547944849,0.784042842117005,Fungi,,,,,,,Not significant
ASV002063,-2.29433750136324,7.39908598066631,0.507206649548582,0.476350582758028,0.784042842117005,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Not significant
ASV002080,-2.42615822398954,7.41450499461531,1.86569337681753,0.171969138511401,0.583524547159295,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus_castroae,Not significant
ASV002082,3.11103066084175,7.53069775097588,0.711551663165822,0.398929178119339,0.784042842117005,Fungi,Glomeromycota,Glomeromycetes,,,,,Not significant
ASV002092,-1.0144350766275,7.35617110451141,0.168843407797034,0.681141759851507,0.784042842117005,Fungi,Ascomycota,,,,,,Not significant
ASV002110,2.68496845694439,7.45593832743238,0.558806953801524,0.454741338755077,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium_colombiense,Not significant
ASV002139,-3.25516517321086,7.55938453035011,0.746693110493745,0.387525235449007,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_anisopliae,Not significant
ASV002144,-3.27127806867146,7.56076087230058,2.17411344177487,0.140350375895569,0.565951818641464,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,,Not significant
ASV002145,2.68496845694439,7.45593832743238,0.558806953801524,0.454741338755077,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_minima,Not significant
ASV002147,-2.99836104595237,7.50971663466951,0.631998038662228,0.426623366069489,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Not significant
ASV002174,-2.97181024844706,7.50488326530868,0.631667151510263,0.426744450487246,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,,Not significant
ASV002190,-3.6852695118259,7.65482962821931,0.95061520524638,0.32956275154473,0.784042842117005,Fungi,Ascomycota,,,,,,Not significant
ASV002210,2.52737335359458,7.40885308683046,1.92596894017582,0.16520013863439,0.576916023240698,Fungi,Ascomycota,Dothideomycetes,Acrospermales,Acrospermales_fam_Incertae_sedis,Leptodiscella,Leptodiscella_africana,Not significant
ASV002266,-2.65864251715481,7.45190243904978,0.542649881471207,0.461336599760256,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV002270,-1.63895248726684,7.31624668529481,1.85115762286989,0.173648815976828,0.583857203280113,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Conlarium,,Not significant
ASV002303,3.49556217252947,7.61063570888679,0.906302794434261,0.341097302997571,0.784042842117005,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,Branch03,,,,Not significant
ASV002313,-1.36933391137598,7.2932400114597,2.00970835806072,0.15629536109672,0.570475829624786,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV002334,0.966298566255035,7.39362186768167,0.104227500991285,0.746814265169537,0.801941879696248,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Minimedusa,Minimedusa_polyspora,Not significant
ASV002386,-2.53928373338752,7.43359262163742,0.531226112200366,0.466091832175015,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,,,Not significant
ASV002405,-0.793314722893608,7.32678999314205,0.154152564950552,0.694598189504943,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,,,Not significant
ASV002430,-1.83789569315402,7.33669088101793,2.07282347115297,0.149943704179814,0.570475829624786,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV002487,-2.84049569787083,7.48176171356064,0.687326722644346,0.407075152519923,0.784042842117005,Fungi,Chytridiomycota,,,,,,Not significant
ASV002510,3.49089354409744,7.60956256334909,0.871902514876391,0.35042915005825,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,,,Not significant
ASV002518,-2.671177129593,7.44869315872233,1.924310795963,0.165382218718763,0.576916023240698,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,,Not significant
ASV002528,-3.2551591127212,7.55938453035011,0.748456970789029,0.38696520308761,0.784042842117005,Fungi,,,,,,,Not significant
