OTU	Total_tags	i_Si_2w_1_tags	i_Si_2w_2_tags	i_Si_2w_3_tags	i_Si_4w_1_tags	i_Si_4w_2_tags	i_Si_4w_3_tags	i_Si_6w_1_tags	i_Si_6w_2_tags	i_Si_6w_3_tags	i_Si_8w_1_tags	i_Si_8w_2_tags	i_Si_8w_3_tags	o_Si_1_tags	o_Si_2_tags	o_Si_3_tags	i_So_2w_1_tags	i_So_2w_2_tags	i_So_2w_3_tags	i_So_4w_1_tags	i_So_4w_2_tags	i_So_4w_3_tags	i_So_6w_1_tags	i_So_6w_2_tags	i_So_6w_3_tags	i_So_8w_1_tags	i_So_8w_2_tags	i_So_8w_3_tags	o_So_1_tags	o_So_2_tags	o_So_3_tags	i_Si_2w_1_relative_abundance	i_Si_2w_2_relative_abundance	i_Si_2w_3_relative_abundance	i_Si_4w_1_relative_abundance	i_Si_4w_2_relative_abundance	i_Si_4w_3_relative_abundance	i_Si_6w_1_relative_abundance	i_Si_6w_2_relative_abundance	i_Si_6w_3_relative_abundance	i_Si_8w_1_relative_abundance	i_Si_8w_2_relative_abundance	i_Si_8w_3_relative_abundance	o_Si_1_relative_abundance	o_Si_2_relative_abundance	o_Si_3_relative_abundance	i_So_2w_1_relative_abundance	i_So_2w_2_relative_abundance	i_So_2w_3_relative_abundance	i_So_4w_1_relative_abundance	i_So_4w_2_relative_abundance	i_So_4w_3_relative_abundance	i_So_6w_1_relative_abundance	i_So_6w_2_relative_abundance	i_So_6w_3_relative_abundance	i_So_8w_1_relative_abundance	i_So_8w_2_relative_abundance	i_So_8w_3_relative_abundance	o_So_1_relative_abundance	o_So_2_relative_abundance	o_So_3_relative_abundance	Domain	Phylum	Class	Order	Family	Genus	Species
ASV000019	2920	0	0	0	0	0	2920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.495333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes				
ASV000085	2877	0	19	0	0	76	0	0	0	2130	125	0	59	0	147	55	0	46	36	35	13	13	17	31	10	10	11	0	28	6	10	0	0.152881	0	0	0.611522	0	0	0	17.138719	1.005793	0	0.474734	0	1.182813	0.442549	0	0.370132	0.289668	0.281622	0.104603	0.104603	0.136788	0.249437	0.080463	0.080463	0.08851	0	0.225298	0.048278	0.080463	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV000027	2826	4	11	302	114	15	0	632	22	11	79	68	35	2	24	8	13	94	64	41	150	194	111	158	46	130	157	204	26	34	77	0.032185	0.08851	2.429997	0.917284	0.120695	0	5.085291	0.17702	0.08851	0.635661	0.547152	0.281622	0.016093	0.193112	0.064371	0.104603	0.756357	0.514966	0.3299	1.206952	1.560991	0.893145	1.271323	0.370132	1.046025	1.263276	1.641455	0.209205	0.273576	0.619569	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans
ASV000028	2477	49	10	106	0	0	0	268	0	0	0	142	0	21	43	0	79	61	90	187	173	137	142	149	144	104	42	10	513	7	0	0.394271	0.080463	0.852913	0	0	0	2.156421	0	0	0	1.142581	0	0.168973	0.345993	0	0.635661	0.490827	0.724171	1.504667	1.392018	1.10235	1.142581	1.198906	1.158674	0.83682	0.337947	0.080463	4.127776	0.056324	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae		
ASV000056	2425	541	11	11	5	1407	0	0	63	0	0	76	243	0	6	0	15	2	0	9	10	19	0	0	0	0	0	0	0	7	0	4.353074	0.08851	0.08851	0.040232	11.32121	0	0	0.50692	0	0	0.611522	1.955262	0	0.048278	0	0.120695	0.016093	0	0.072417	0.080463	0.152881	0	0	0	0	0	0	0	0.056324	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	
ASV000034	2266	14	15	32	0	0	0	0	0	0	0	0	0	706	962	480	0	0	0	0	0	0	0	0	0	0	0	0	15	28	14	0.112649	0.120695	0.257483	0	0	0	0	0	0	0	0	0	5.680721	7.740586	3.862247	0	0	0	0	0	0	0	0	0	0	0	0	0.120695	0.225298	0.112649	Fungi	Ascomycota					
ASV000052	2234	0	0	0	4	229	0	739	40	371	19	562	22	0	0	0	15	0	9	0	34	46	0	0	43	38	15	6	42	0	0	0	0	0	0.032185	1.842613	0	5.94625	0.321854	2.985195	0.152881	4.522047	0.17702	0	0	0	0.120695	0	0.072417	0	0.273576	0.370132	0	0	0.345993	0.305761	0.120695	0.048278	0.337947	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metacordyceps	Metacordyceps_chlamydosporia
ASV000033	2192	174	0	13	164	114	0	119	32	0	54	19	0	0	12	0	20	20	18	228	156	204	393	82	57	170	59	38	38	8	0	1.400064	0	0.104603	1.319601	0.917284	0	0.957515	0.257483	0	0.434503	0.152881	0	0	0.096556	0	0.160927	0.160927	0.144834	1.834567	1.25523	1.641455	3.162214	0.6598	0.458642	1.367879	0.474734	0.305761	0.305761	0.064371	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
ASV000035	2184	0	37	0	211	0	4	0	0	0	165	113	104	0	13	0	0	0	0	13	16	29	0	15	29	38	509	883	5	0	0	0	0.297715	0	1.697779	0	0.032185	0	0	0	1.327647	0.909237	0.83682	0	0.104603	0	0	0	0	0.104603	0.128742	0.233344	0	0.120695	0.233344	0.305761	4.095591	7.104924	0.040232	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_grisea
ASV000036	2086	35	16	0	8	9	0	0	30	0	32	7	0	4	7	14	65	239	169	68	126	125	126	103	323	60	85	17	16	88	314	0.281622	0.128742	0	0.064371	0.072417	0	0	0.24139	0	0.257483	0.056324	0	0.032185	0.056324	0.112649	0.523013	1.923077	1.359833	0.547152	1.01384	1.005793	1.01384	0.828774	2.59897	0.482781	0.683939	0.136788	0.128742	0.708079	2.526553	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_nematophilum
ASV000041	2038	0	16	212	0	0	0	55	0	0	0	0	0	474	346	315	3	69	9	36	3	37	12	11	3	37	0	0	136	8	256	0	0.128742	1.705826	0	0	0	0.442549	0	0	0	0	0	3.813968	2.784036	2.534599	0.024139	0.555198	0.072417	0.289668	0.024139	0.297715	0.096556	0.08851	0.024139	0.297715	0	0	1.094303	0.064371	2.059865	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Paraboeremia	Paraboeremia_selaginellae
ASV000038	1952	6	4	1	0	0	0	2	6	9	181	5	4	0	0	0	144	132	51	77	150	143	96	86	579	192	59	22	2	0	1	0.048278	0.032185	0.008046	0	0	0	0.016093	0.048278	0.072417	1.456389	0.040232	0.032185	0	0	0	1.158674	1.062118	0.410364	0.619569	1.206952	1.150628	0.772449	0.691986	4.658835	1.544899	0.474734	0.17702	0.016093	0	0.008046	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS11			
ASV000077	1898	224	26	19	0	99	0	44	134	501	119	148	178	0	23	74	13	24	16	30	11	39	29	22	38	51	10	10	10	0	6	1.802382	0.209205	0.152881	0	0.796588	0	0.354039	1.07821	4.03122	0.957515	1.190859	1.43225	0	0.185066	0.59543	0.104603	0.193112	0.128742	0.24139	0.08851	0.313808	0.233344	0.17702	0.305761	0.410364	0.080463	0.080463	0.080463	0	0.048278	Fungi	Ascomycota	Sordariomycetes	Sordariales			
